,user_id
0,007lund
1,00cobraR
2,09maso3
3,0o9i
4,100Beier
5,1010
6,1040
7,11026
8,119sec
9,11thMan
10,123456green
11,1234marvin
12,12HundredBaud
13,12many
14,12ozProphet
15,12pence
16,13allison
17,13mikey
18,151rum
19,1549
20,16erBlech
21,174153
22,17Beer
23,17thfloor
24,17wojownik
25,184601
26,1901
27,1969paul
28,196osh
29,1971wineguy
30,1974
31,19Ei8hty
32,19Michi38
33,19Oracolo78
34,1FastSTi
35,1Steve
36,1gandalf
37,1guywith_aboat
38,1more4dessert
39,1pintatatime
40,1rice
41,200ibu
42,20107589
43,2012
44,211Gramma99
45,21iceman40
46,22415brewery
47,22ozBicepCurls
48,2711
49,2DaMtns
50,2OLD4BS
51,2Pac
52,2Roses
53,2beerguys
54,2far2care99
55,2mu2ku
56,2ndstage
57,2theraise
58,301stSpartan
59,30wattlight
60,313hooligan
61,32clowns
62,37steel
63,380streamline
64,3Faveryrogue
65,3bombandit
66,3daddict
67,3fourths
68,3lewsers
69,3sheets2wind
70,400lb_midget
71,40oz
72,40ozFreak99
73,41cubs
74,4265homebrew
75,4421
76,45thstbrewer
77,461er
78,47574xeCD
79,48FanInCali
80,48hrmoistr
81,49degrees
82,49markan097
83,4d71bostont
84,4every1tohome
85,4look4rd
86,4runn
87,4thAgeChris
88,4theluvofbeer
89,5000
90,502Che
91,505
92,50belair
93,50tice
94,55x11
95,56lespaul
96,574deadzone
97,57md
98,5crown99
99,5eba88
100,5lickv1c
101,60minuteman
102,619photos
103,64hophead
104,6549
105,666ale
106,666seth
107,66bjeffrey
108,67F100
109,6PackAttack
110,6ROW
111,6bahudy9
112,6bottlepack
113,6kdawg
114,6reat6oat6od
115,6stringblus
116,721Lance
117,757HopHead
118,77ships
119,785pro
120,78samh
121,7Aaron
122,7ris7an
123,7stern
124,7thdave
125,80skid
126,8200
127,8922
128,8bitdinosaur
129,90
130,944play
131,96beerCD
132,97hill
133,99beerman
134,99smithsamuel
135,9er
136,9sandwiches
137,A10101100
138,A6av8r
139,AAEA
140,AAO
141,ABBeerSnob
142,ABS
143,ABT_S54
144,ABUSEDGOAT
145,ABVoluptuous
146,ABeerVixen
147,ABowman19
148,ACHops
149,AD_debushatta
150,ADfan
151,AFBbeerczar
152,AG420
153,AGAD
154,AGAquino
155,AGCostaNeves
156,AHSlowhand
157,AHTOH
158,AHouse
159,AIESECQld
160,AJBaird
161,AJCliff1983
162,AJL1980
163,AKH
164,AKORN
165,AKSalmon
166,AKThunder
167,ALCOHOLNIZM
168,ALIBALI
169,ALLOVATE
170,ALavery03
171,ALyseen
172,AMN
173,AMson
174,ANZUShophunter
175,AOF
176,AR
177,ARH
178,ARMORALLL
179,ARMed
180,ARThursReview
181,ARoo
182,ASXL41
183,ASak10
184,AStoutFan
185,ATLBeerDog
186,ATOmemphis
187,ATP
188,ATS Ard-Ri
189,ATulloch
190,AVLarsen
191,AWISLguy
192,AWMiller
193,AWS9
194,AZBennett
195,AZJayro
196,AZmatt25
197,A_Vermonter
198,AaFa
199,Aanders
200,Aaqa
201,Aarleks
202,Aaron68
203,AaronBouchard
204,AaronDaniel
205,AaronIPAAPA
206,AaronTDubs
207,Aarond
208,Abacke
209,AbbeyRoade
210,AbeVigoda99
211,AbeerWolf
212,Abijen
213,Abio
214,Abitan
215,AbouAli
216,Abrainiac20
217,Abrakarl
218,Absolutbeerginer
219,Acanofpiwo
220,Acaro
221,Acarotibia
222,Accaris
223,AcctError10541
224,AcctError12260
225,AcctError12410
226,AcctError12457
227,AcctError131151
228,AcctError134939
229,AcctError13610
230,AcctError14093
231,AcctError15617
232,AcctError159802
233,AcctError162775
234,AcctError169081
235,AcctError17388
236,AcctError25141
237,AcctError285445
238,AcctError304011
239,AcctError309270
240,AcctError3294
241,AcctError3454
242,AcctError43480
243,AcctError459995
244,AcctError486393
245,AcctError487384
246,AcctError490292
247,AcctError53893
248,AcctError53909
249,AcctError6435
250,AcctError6912
251,AcctError7102
252,AcctError76287
253,AcctError7833
254,AcctError85284
255,AcctError98357
256,Ace81287
257,AceOfHearts
258,AceOfSpades
259,Acetobacter
260,Achel
261,Acid303
262,AcidBurn32588
263,AcidHouseCC
264,Acknud
265,ActionAnt
266,ActorB
267,Adam 13
268,Adam420
269,Adam71
270,Adam77
271,AdamChandler
272,AdamGott
273,AdamSkillin
274,AdamSplitter
275,AdamT
276,Adamcyoung
277,Adamsbrews
278,Adamzes
279,Adaza
280,Addicted
281,Addiezg
282,Addy1304
283,Admiral
284,AdmiralVernon
285,Admwrlk
286,AdolfoCC
287,Adrian_diez
288,AdrienAndMarie
289,AdvantageRob
290,Adverse2Bitter
291,Advocate_Ames
292,Aegrus
293,AeirBoxzen
294,Aelfraed
295,AerensianiC
296,Aerodynabeer
297,Aesg99
298,Aesir
299,Afossum
300,After.dawn
301,AgFireFighter
302,Agaguk
303,AgeDaddy
304,AgedOak
305,Ageers99
306,AgentAle
307,AgentGobshite
308,AgentSteve
309,Aggie80
310,Aggiebob
311,Aggy360
312,AglassOrTwo
313,AgnesBrygghus
314,Agrocago
315,Agtronic
316,Aherbelste
317,Aholmb1
318,Ahuth
319,Ahx
320,Aidas
321,Aineta
322,Aion
323,AirForceHops
324,AirWolfie
325,Airlifter
326,Airman
327,Akatyzja
328,Akipov
329,Akrenz
330,Aks0725
331,Aky22
332,AlKHall
333,AlKahalic
334,AlabastorJones
335,AlainG
336,AlanFord
337,Alanthebeerguy
338,Alasdair
339,AlbanianMonk
340,AlberRueda
341,Alberello
342,Albert
343,AlbertC
344,AlbertMonEsp
345,Albertsen
346,AlbinoLlama
347,AlbionOakley
348,Albundy94
349,AlchemikalGab
350,AlchemistZ
351,AlcoholChair
352,AlcoholForMe
353,Alcoholik
354,Alcoholist
355,Aldeveron4
356,Aldrighetti
357,AleChamp19
358,AleConnoisseur
359,AleDrinker
360,AleExports11
361,AleFart
362,AleGuru2
363,AleHole99
364,AleHopper4
365,AleJones
366,AleKeep20
367,AleLetizia
368,AleLieutenant17
369,AleLove37
370,AleMan84
371,AleManTom
372,AleMaster18
373,AleMonger147
374,AleMuse25
375,AleProfessor59
376,AleRater20
377,AleReports13
378,AleRider78
379,AleSampler22
380,AleTamer12
381,AleTamer126
382,AleTasty34
383,AleTasty9
384,AleTeam24
385,AleTickers8
386,AleTicks1
387,AleTicks10
388,AleTun24
389,AleTun35
390,AleWarden31
391,AleWarden61
392,Alebarasi
393,Alecwallace
394,Aleixxercavins
395,AlejandroM
396,Alengrin
397,Alenightlong99
398,AlephNull3
399,Aleszar
400,Alex-Laramee
401,Alex420
402,Alex60
403,AlexCZ
404,AlexDonovan
405,AlexF4099
406,AlexGR
407,AlexKovalenko
408,AlexPKeyton
409,AlexRit
410,AlexZCologne
411,AlexanderJanku
412,Alexanderdahl
413,Alexandra
414,Alexd8
415,Alexgc
416,Alexi91
417,Alextricity
418,Alexus
419,Alexvb
420,Alfonso
421,Alfonzo
422,Alfradique2
423,AlfredNeumann
424,AlfredReece92
425,AlfredoGarcia
426,Aliens5114
427,AliothSenator
428,Alkoholic
429,All4Grog99
430,AllAboutStout
431,AllGrainChamp18
432,AllGrainChief51
433,AllGrainGuide34
434,AllGrainGuide52
435,AllGrainKeep10
436,AllGrainKeep62
437,AllGrainLove28
438,AllGrainMonger20
439,AllGrainRater31
440,AllGrainRespek41
441,AllGrainSampler4
442,AllGrainScout56
443,AllGrainTaps52
444,AllGrainTeam10
445,Allara
446,Allboutdatbeer
447,Alldaydrinker
448,Allie
449,Allseeingeye
450,Allthatisevil
451,Allvien
452,"Almeter, The Aryan God of Beer"
453,Almogabar
454,AlmostHome
455,AlpIrez
456,Alpha10
457,AlphaOmega
458,AlphaOne
459,Alphadelic
460,Alsnchayns0099
461,Altasar
462,Altdeutsch
463,Aluman
464,Alusmamuts
465,AlvaBC
466,AmEricanbrew
467,AmandaIsPretty
468,Amartins24
469,Amator
470,AmazonMatt
471,Amber_Lamps
472,Ambla
473,Ambro206
474,Ambrose
475,Amexis
476,Amfo
477,Aminatchime
478,Aml42000
479,Amras
480,AnG_BrgNor
481,AnaRitaGato
482,Anareon
483,Anatole
484,Andbrewer
485,AndersR
486,Anderson3223
487,Andgun87
488,Ando
489,AndreaDel
490,Andreamuhr
491,Andreas99
492,AndreasJaeger
493,AndreasP
494,Andreas_sahyoun
495,AndreiMan
496,AndreiProdan
497,AndresTM
498,Andresvendsen
499,Andrew196
500,Andrew3366
501,AndrewC
502,AndrewGS
503,AndrewGeoff
504,AndrewKitna
505,AndrewKoransky
506,AndrewM
507,AndrewMichaelZ
508,Andrew_reese
509,Andrighetti
510,Andris1988
511,Andrus86
512,Andy99
513,AndyHasFins
514,AndyLevan
515,AndyMagnum
516,AndyOtremba99
517,AndyReynolds
518,AndyS
519,AndySnow
520,AndyW68
521,Andy_
522,Andyb123
523,Andyfroth01
524,Andyman262
525,AngelEyes
526,Angeloregon
527,Anglofile
528,Aniela
