,class,class_cnt
0,Amber Lager - International / Vienna,1
1,Apple Cider,3
2,Belgian Ale - Dark / Amber,2
3,Bitter - Ordinary / Best,1
4,Bitter - Premium / Strong / Extra Special (ESB),1
5,Blonde Ale / Golden Ale,2
6,Bock - Doppelbock,2
7,Dark Lager - Dunkel / Tmavy,4
8,Dark Lager - International / Premium,2
9,Flavored - Fruit,3
10,Flavored - Other,2
11,Helles / Dortmunder Export,2
12,IIPA DIPA - Imperial / Double IPA,1
13,IPA,4
14,IPA - English,1
15,ISA - Session IPA,3
16,Kolsch / Kolsch-Style,1
17,Low / No Alcohol Beer - Pale,3
18,Marzen / Oktoberfest Bier,2
19,Pale Ale,1
20,Pale Ale - American (APA),1
21,Pale Ale - English,1
22,Pale Lager - American,10
23,Pale Lager - International / Premium,32
24,Pilsener - Bohemian / Czech,3
25,Pilsener / Pils / Pilsner,3
26,Radler / Shandy,5
27,Saison / Farmhouse - Dark,1
28,Saison / Farmhouse - Flavored,1
29,Schwarzbier / Black Lager,2
30,Stout - Dry / Irish,2
31,Stout - Extra / Foreign / Tropical,1
32,Stout - Imperial,1
33,Weissbier - Hefeweizen,5
34,Wheat Ale,3
35,Witbier / Belgian White Ale,6
