,맥주정보,검색이름,맥주이름
0,"ttoadee(3,076)
🇺🇸Austin, United States
2.2July 31, 2020
Light gold pour, whisper of a head. Nose is something sweet.  Middle shows light kilned malt, rice, rumour of euro hops.  Finish is sweet.
Aroma
4
Appearance
3
Flavor
4
Mouthfeel
2
Overall
9",Kirin Lager,Kirin Lager
1,"thefchowdhury(29)
3.9November 30, 2019
This is a regular and popular Japanese beer can be found all over Japan. Rich in taste and flavour. easy to drink.
CAN
Aroma
8
Appearance
4
Flavor
7
Mouthfeel
3
Overall
17",Kirin Lager,Kirin Lager
2,"dutchdarthvader(1,747)
🇳🇱Netherlands
2.7October 16, 2019
Tap @ Mojo, Amsterdam X 2019. Moutige geur gemiddelde tot zachte bitter. Goed doordrinkbaar. Subtiel fruitig tintje. Heldet geel met witte schuimkraag. Overall goed…
Show more
TAP
Aroma
5
Appearance
4
Flavor
6
Mouthfeel
2
Overall
10",Kirin Lager,Kirin Lager
3,"MaltTasty27(506)
🇸🇪Göteborg, Sweden
2.5September 7, 2019
Flaska 330 ml från Foodland Thailand 5 % ABV. Guldfärgad med vitt skum som snabbt lägger sig. Doft av malt och gräs. Smak av malt, bröd, gräs, honung och med citrus i…
Show more
BOTTLE
Aroma
5
Appearance
3
Flavor
5
Mouthfeel
2
Overall
10",Kirin Lager,Kirin Lager
4,"dnstone(5,860)
🇩🇪Saarland, Germany
2.8May 5, 2019
Pours a clear golden with white head. Light rice Malt aroma. Mildly sweet and light lager like.…
Show more
Aroma
5
Appearance
2
Flavor
5
Mouthfeel
3
Overall
13",Kirin Lager,Kirin Lager
5,"bbbeer(1,353)
🇺🇸United States
2.1April 28, 2018
Light yellow. Bland aroma. Light body. Flavor is off-dry to slightly sweet. Finish lacks needed crispness for this style.
Aroma
4
Appearance
3
Flavor
4
Mouthfeel
2
Overall
8",Kirin Lager,Kirin Lager
6,"Piepenhenrich(2,687)
🇩🇪Steinbach, Germany
2.4August 28, 2017
Reasonable Lager, among the better in Japan, goes well with local food, but yet it’s a little flat in taste, like international Lagers are.
Aroma
5
Appearance
3
Flavor
5
Mouthfeel
3
Overall
8",Kirin Lager,Kirin Lager
7,"60minuteman(1,764)
🇺🇸West Chester, United States
2.5April 28, 2017
Yellowish color. 2 bottles at Akune. The food was crazy. Ate live shrimp. It drinks smooth and a good accomplice to food where food is the focal point.
Aroma
5
Appearance
4
Flavor
5
Mouthfeel
3
Overall
8",Kirin Lager,Kirin Lager
8,"mzaar(6,093)
🇸🇪Varberg, Sweden
2.5April 3, 2017
Flaska. Klar gulfärgad med ett vitt skum. Dofter av malt, gräs, vitt bröd och en ton av honung. Samma återkommer i smaken, där säd också hittar fram. Bättre än många andra…
Show more
Aroma
5
Appearance
4
Flavor
4
Mouthfeel
3
Overall
9",Kirin Lager,Kirin Lager
9,"Zilb(734)
🇫🇷Fontenay Sous Bois, France
2.2October 27, 2016
Bue en cannette au Japon. Faible mousse a faible tenue. Arome leger de malt. Lager classique
Aroma
5
Appearance
2
Flavor
4
Mouthfeel
2
Overall
9",Kirin Lager,Kirin Lager
