,beer_kor_name,beer_eng_name,class,country,description,score,aroma,appearance,flavor,mouthfeel,type
0,1664블랑,Kronenbourg 1664 Blanc,Witbier / Belgian White Ale,FR,"
1664 화이트는 신선하고 과일 향이 나는 화이트 맥주입니다. 그 풍미와 디자인 때문에 밀 맥주의 세계에서 프랑스의 우아함과 맛을 구현합니다.



정통, 접근하기 쉽고 약간 과일 향이 나며 감귤류, 레몬, 고수의 미묘한 향을 드러냅니다.",2.80040282,3.294811321,5.54245283,2.929245283,11.22877358,"밀맥주, 벨기에 에일"
1,경복궁,Kabrew Gyeongbokgung Royal Pride IPA,ISA - Session IPA,KR,세션 IPA는 기존 시장의 세션 IPA와 달리 말린 과일 풍미가 가득한 특수 맥아로 만든 몰트와 홉의 균형이 강하고 개성이 강합니다.market.,3.285714286,3.428571429,6.571428571,2.857142857,13.14285714,IPA
2,광화문,ARK Seoulite Ale,Pale Ale - American (APA),KR,,3.01,3.5,5.9,3.2,12.1,페일에일
3,구미호 IPA,Kabrew Kumiho India Pale Ale,IPA,KR,,2.85,3,6,3,10.5,IPA
4,구미호 피치 에일,Kabrew Kumiho Peach Ale,Flavored - Fruit,KR,"
밀을 베이스로 한 북미 스타일의 과일 맥주로, 복숭아 향이 가득하고 쓴맛이 없습니다.",2.82,2.5,5.75,2.25,11,과일
5,구스 아일랜드 IPA,Goose Island Goose IPA,IPA - English,US,"잉글리시 스타일 IPA인 이 맥주는 드라이한 몰트 미들과 롱 홉 피니시로 시작되는 과일 향으로 시작됩니다.

우리의 인디아 페일 에일은 영국에서 인도로 배송된 에일을 긴 여정 동안 고유한 맛을 보존하기 위해 홉을 많이 사용했던 때를 회상합니다. 결과는 과일 향, 드라이한 몰트 미들, 그리고 긴 홉 피니시를 가진 홉 애호가의 꿈입니다.

버번 색상과 국제 비터니스 단위 59인 IPA는 Pilgrim, Styrian Golding Celeia, Cascade 및 Centennial Hop을 사용합니다.

우리가 당신이 마시는 유일한 맥주일 필요는 없습니다.

우리는 당신이 마시는 최고의 맥주를 원할 뿐입니다.",3.524749741,3.487373737,6.699494949,3.381313131,13.69949495,IPA
6,구스 아일랜드 덕덕구스 ,Goose Island Duck Duck Goose,Wheat Ale,US,,3.225,3.25,7,2.75,13,밀맥주
7,구스 아일랜드 마틸다,Goose Island Matilda,Belgian Ale - Dark / Amber,US,"



재료: 물, 스티리안 및 사즈 홉, 2줄 보리 및 캐러멜 맥아, 효모 및 과립 사탕무 설탕.



마틸다는 과일 향과 매운 맛을 암시하는 희귀 효모로 만들어집니다. 풍부한 홉과 복합적인 몰티함이 균형을 이룹니다.",3.634734735,3.668171558,7.178329571,3.634311512,14.58465011,벨기에 에일
8,구스 아일랜드 버본 컨트리 스타우트,Goose Island Bourbon County Stout,Stout - Imperial,US,"""원래 양조장에서 1000번째 배치를 위해 뭔가 특별한 것을 하고 싶었습니다. 구스 아일랜드에서 파티를 열 수도 있었습니다. 하지만 우리는 더 나은 것을 했습니다. 우리는 맥주를 양조했습니다. 정말 많은 양의 스타우트 배치-너무 큰 몰트가 나오고 있었습니다. 발효 후 우리는 스타우트를 숙성시키기 위해 약간의 버번 배럴을 가져왔습니다. 150일 후, 버번 카운티 스타우트가 탄생했습니다-블랙홀처럼 어둡고 밀도가 높은 액체에 두꺼운 거품 색상 버번 배럴의 코입니다. 코는 까맣게 탄 오크, 바닐라, 카르멜 및 스모크가 혼합되어 있습니다. 한 모금은 일반적인 맥주보다 더 풍미가 있습니다. 방에있는 모든 것을 압도합니다. 사람들은 훌륭한 시가 맥주라고 말하기까지했지만 나는 그것에 버틸 수 있는 시가를 아직 시도하지 않았습니다."" 브루마스터 그렉 홀;





IBU의 60-High

색상 - 자정





11% abv였습니다.



2007년 및 2008년 - 13% 평균



2011 - 14.5% 평균



2012 - 15% 평균



2013 - 14.9% 평균



2014 - 14.4% 평균

 

2015 - 14.2% 평균

 

2016 - 13.9% &amp; 13.8% 평균



2017 - 14.1% 평균



2018 - 14.7% &amp; 15.2% 평균







편집자 주: Baudoinia Fulton &amp; Wood Series 제품(FoBAB 2012의 Low Storage 항목)은 동일한 배럴에서 숙성된 Bourbon County Stout입니다. 가능한 산소 노출 변화를 제외하고는 곰팡이 자체에서 맥주에 뚜렷한 특성을 추가하지 않는 배럴에 증류기 곰팡이의 존재만으로 다른 조리법이나 배럴 유형을 제공하지 않기 때문에 변경되었습니다. Brewers Intent는 새로운 맥주로 간주하고 있음을 나타내지만, 이러한 산화량과 가능한 숙성 시간 차이를 제외하고는 진정한 구별이 맥주를 구분하지 않습니다. 본질적으로 우리가 과거에 항상 일반 버번 카운티 스타우트로 취급했던 단일 배럴 버번 카운티 버전입니다.",4.273194222,4.291764706,8.701176471,4.36,17.60470588,흑맥주
9,구스 아일랜드 소피,Goose Island Sofie,Saison / Farmhouse - Flavored,US,"야생 효모로 발효되고 오렌지 껍질이 있는 와인 배럴에서 숙성된 소피는 신맛이 나는 드라이한 스파클링 에일입니다. 미묘하고 스파이시한 화이트 페퍼 노트, 오렌지 껍질의 시트러스 향, 크리미한 바닐라 피니쉬는 벨기에 세종을 좋아하는 샴페인 애호가와 맥주 애호가에게 흥미로운 선택이 됩니다.",3.729745989,3.643518519,7.363425926,3.678240741,14.92592593,"에일, 과일, 기타"
