,beer_eng_name,0
0,,10
1,,5
2,,27
3,,2023
4,,119
5,,2451
6,,810
7,,3542
8,,185
9,,2758
10,,4418
11,,2581
12,,884
13,,888
14,Carlsberg Pilsner,1773
15,Cass Fresh,296
16,Cass Light,33
17,Corona Extra,4080
18,Corona Light,1034
19,Desperados,899
20,Desperados Red,179
21,Edelweiss Weissbier Snowfresh,353
22,Egger Grapefruit Radler,48
23,Egger Naturtrüber Zitronenradler,48
24,Erdinger Weissbier,2698
25,FiLite,9
26,Filite Fresh Cool & Clear,3
27,Filite Weizen,3
28,Fitz Super Clear,27
29,Goose Island 312 Urban Wheat Ale,1880
30,Goose Island Bourbon County Stout,3115
31,Goose Island Duck Duck Goose,4
32,Goose Island Goose IPA,2897
33,Goose Island Honkers Ale,2193
34,Goose Island Matilda,1998
35,Goose Island Pepe Nero,800
36,Goose Island Sofie,1496
37,Goose Island Summertime,928
38,Guinness Black Lager,698
39,Guinness Draught,5741
40,Guinness Extra Stout (North America),1898
41,Guinness Foreign Extra Stout,1443
42,Happoshu Filgood,3
43,Harbin Beer,335
44,Heineken,4205
45,Heineken 0.0,314
46,Heineken Dark Lager,577
47,Hite Beer,787
48,Hite Black Beer Stout,188
49,Hite D (Dry Finish),59
50,Hite Extra Cold,60
51,Hite Prime Max,116
52,Hite Zero,12
53,Hoegaarden,4602
54,Hoegaarden Rosée,586
55,Hop House 13 Lager,503
56,Isul Tok Tok,4
57,Jeju Baengnokdam Ale,7
58,Jeju Pellong Ale,5
59,Jeju Seongsan Ilchulbong Ale,2
60,Jeju Wit Ale,19
61,Kabrew Gyeongbokgung Royal Pride IPA,7
62,Kabrew Hoptandu IPA,2
63,Kabrew Kumiho India Pale Ale,2
64,Kabrew Kumiho Peach Ale,5
65,Kirin Ichiban,1974
66,Kirin Lager,360
67,Kloud Original Gravity,108
68,Kozel Premium Lager 12°,721
69,Kozel Černý (Dark) 10°,1083
70,Kronenbourg 1664 Blanc,993
71,Lagunitas DayTime,1120
72,Lagunitas India Pale Ale (IPA),3129
73,Lagunitas Maximus IPA,2497
74,Leffe Brune,2479
75,Magners Juicy Apple,2
76,Mango Lingo,3
77,Miller Chill Chelada Style,698
78,Miller Genuine Draft (MGD),2394
79,Miller High Life,2106
80,Miller Lite,2474
81,Patagonia,70
82,Patagonia Amber Lager,99
83,Patagonia Bohemian Pilsener,78
84,Patagonia Weisse,55
85,Paulaner Hefe-Weissbier,3503
86,Paulaner Oktoberfest Bier (Wiesn Bier),1403
87,Paulaner Original Münchner Hell (Premium Lager),1431
88,Paulaner Salvator,3097
89,Peroni,1377
90,Pilsner Urquell,4329
91,Queen's Ale Blonde Type,8
92,Queen's Ale Extra Bitter Type,12
93,San Miguel Pale Pilsen,848
94,Sapporo Draft Beer,19
95,Sapporo Reserve,359
96,Sapporo Yebisu,351
97,Sapporo premium lager,356
98,Singha Draft,53
99,Somersby Apple Cider,321
100,Spaten Münchner München,1496
101,Spaten Oktoberfest Ur-Märzen,1530
102,Spaten Optimator,2093
103,Stella Artois,3626
104,Suntory The Premium Malt's,186
105,Suntory The Premium Malt's Kaoru Ale,21
106,Terra,9
107,Tiger Beer,1770
108,Tiger Radler Lemon,22
109,Tsingtao,2265
110,Tsingtao Draft Beer 11º (Pure Draft Beer),107
111,Tsingtao Laoshan 4.0% 10°P,22
112,Tsingtao Laoshan 4.7% 11°P,12
113,Tsingtao Wheat Beer,33
114,Warsteiner Premium Dunkel,1245
115,Warsteiner Premium Verum,2467
